ID,Name (ger),Name (eng),Name (fre)
,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
,William Shakespeare,William Shakespeare,William Shakespeare
,Ernest Hemingway,Ernest Hemingway,Ernest Hemingway
,Leo Tolstoy,Leo Tolstoy,Leo Tolstoï
,George Orwell,George Orwell,George Orwell
,Fyodor Dostoevsky,Fyodor Dostoevsky,Fyodor Dostoïevski
,Marcel Proust,Marcel Proust,Marcel Proust
,Franz Kafka,Franz Kafka,Franz Kafka
,Jane Austen,Jane Austen,Jane Austen
,Christopher Marlowe,Christopher Marlowe,Christopher Marlowe
,F. Scott Fitzgerald,Francis Scott Fitzgerald,Francis Scott Fitzgerald
